sample_id,station_id,latitude,longitude,level_code,tara_nitrate_level,ebi_nitrate_level,darwin_nitrate_level,nitrate_level,tara_temperature,ebi_temperature,temperature,tara_salinity_level,ebi_salinity_level,salinity_level,tara_oxygen_level,ebi_oxygen_level,darwin_oxygen_level,oxygen_level,darwin_alkalinity
TARA_G100018502,TARA_194,73.3842,-168.1473,SRF,-3.726200,,7.725159,-3.726200,-0.974260,,-0.974260,19.556900,,19.556900,303.396500,,359.145320,303.396500,2156.776900
TARA_G100018869,TARA_173,78.9564,79.4201,SRF,3.742000,,14.955015,3.742000,-0.421500,,-0.421500,33.688200,,33.688200,390.279500,,368.370200,390.279500,2178.135500
TARA_G100018917,TARA_173,78.9319,79.0846,DCM,6.088300,,15.213918,6.088300,-1.302200,,-1.302200,34.591900,,34.591900,352.038400,,361.833400,352.038400,2179.390600
TARA_G100018927,TARA_173,78.9299,79.2276,SRF,3.742000,,14.955015,3.742000,-0.421500,,-0.421500,33.688200,,33.688200,390.279500,,368.370200,390.279500,2178.135500
TARA_G100018947,TARA_175,79.3473,66.2868,MIX,0.000000,,14.843421,14.843421,0.000000,,,0.000000,,,0.000000,,369.512360,369.512360,2181.477300
TARA_G100018966,TARA_173,78.9537,79.3788,SRF,3.742000,,14.955015,3.742000,-0.421500,,-0.421500,33.688200,,33.688200,390.279500,,368.370200,390.279500,2178.135500
TARA_G100019187,TARA_163,76.1872,1.5879,SRF,4.109900,,13.022532,4.109900,1.954600,,1.954600,35.058400,,35.058400,362.987600,,362.006770,362.987600,2201.485400
TARA_G100019251,TARA_163,76.1287,1.3611,SRF,0.000000,,13.034382,13.034382,0.000000,,,0.000000,,,0.000000,,362.852940,362.852940,2201.505900
TARA_G100019376,TARA_168,72.5432,44.1020,DCM,-3.672100,,14.842140,-3.672100,5.880800,,5.880800,35.138800,,35.138800,313.440400,,344.009740,313.440400,2173.190200
TARA_G100019387,TARA_158,67.1826,0.2204,SRF,0.000000,,13.366856,13.366856,0.000000,,,0.000000,,,0.000000,,301.131560,301.131560,2194.130400
TARA_G100019399,TARA_158,67.1178,0.3690,SRF,4.914600,,13.366856,4.914600,7.839000,,7.839000,35.279200,,35.279200,315.473400,,301.131560,315.473400,2194.130400
TARA_G100019446,TARA_155,54.5131,-16.6374,DCM,8.195100,,15.607829,8.195100,10.909400,,10.909400,35.508700,,35.508700,264.191900,,280.240900,264.191900,2155.588900
TARA_G100019477,TARA_155,54.5296,-16.9257,SRF,1.833000,,14.679750,1.833000,11.002500,,11.002500,35.464800,,35.464800,266.815300,,281.705700,266.815300,2153.641000
TARA_G100019544,TARA_158,67.1179,0.3920,SRF,4.914600,,13.366856,4.914600,7.839000,,7.839000,35.279200,,35.279200,315.473400,,301.131560,315.473400,2194.130400
TARA_G100019555,TARA_158,67.1574,0.3640,DCM,2.454800,,13.837697,2.454800,6.975400,,6.975400,35.308100,,35.308100,319.997900,,307.236800,319.997900,2197.793000
TARA_G100019695,TARA_206,70.9574,-53.5989,SRF,3.826500,,7.599552,3.826500,1.545800,,1.545800,32.268000,,32.268000,329.473900,,344.497070,329.473900,2174.773400
TARA_G100019736,TARA_205,72.4688,-71.8979,SRF,1.038000,,8.516761,1.038000,-0.360370,,-0.360370,32.184600,,32.184600,350.177300,,365.830320,350.177300,2175.880100
TARA_G100019747,TARA_205,72.4693,-71.8920,SRF,-4.292200,,8.516761,-4.292200,-0.403100,,-0.403100,32.175900,,32.175900,352.609200,,365.830320,352.609200,2175.880100
TARA_G100019771,TARA_201,74.3050,-85.6552,DCM,3.232800,,11.917982,3.232800,-0.797810,,-0.797810,31.794400,,31.794400,353.295100,,377.053500,353.295100,2179.312300
TARA_G100019778,TARA_201,74.3050,-85.6552,SRF,1.581400,,10.157342,1.581400,-1.624300,,-1.624300,30.854900,,30.854900,374.530300,,385.374880,374.530300,2176.284200
TARA_G100019814,TARA_201,74.3207,-85.7363,DCM,3.232800,,11.917982,3.232800,-0.797810,,-0.797810,31.794400,,31.794400,353.295100,,377.053500,353.295100,2179.312300
TARA_G100019827,TARA_201,74.3253,-85.9172,SRF,1.581400,,10.157342,1.581400,-1.624300,,-1.624300,30.854900,,30.854900,374.530300,,385.374880,374.530300,2176.284200
TARA_G100019836,TARA_201,74.3207,-85.7363,DCM,3.232800,,11.917982,3.232800,-0.797810,,-0.797810,31.794400,,31.794400,353.295100,,377.053500,353.295100,2179.312300
TARA_G100019851,TARA_201,74.2987,-85.7806,SRF,1.646100,,10.157342,1.646100,-1.532800,,-1.532800,31.006800,,31.006800,372.162100,,385.374880,372.162100,2176.284200
TARA_K100000108,TARA_068,-31.0268,4.6840,SRF,0.000000,,13.263906,13.263906,16.807100,,16.807100,35.855200,,35.855200,231.924000,,246.665390,231.924000,1977.622600
TARA_N000000017,TARA_039,18.5839,66.4727,DCM,-0.512730,,14.285589,-0.512730,26.266500,,26.266500,36.681900,,36.681900,164.101000,,206.210340,164.101000,1904.011700
TARA_N000000043,TARA_038,19.0393,64.4913,SRF,0.891260,,14.481865,0.891260,26.223500,,26.223500,36.790500,,36.790500,199.803600,,208.202560,199.803600,1906.783000
TARA_N000000050,TARA_038,19.0199,64.5315,DCM,1.081000,,14.591483,1.081000,25.777700,,25.777700,0.000000,,,146.548700,,208.617860,146.548700,1903.776500
TARA_N000000824,TARA_072,-8.7726,-17.9150,SRF,0.382530,,13.395498,0.382530,25.027800,,25.027800,36.595500,,36.595500,198.815300,,210.890730,198.815300,1966.382300
TARA_N000000832,TARA_072,-8.7789,-17.9099,SRF,0.382530,,13.395498,0.382530,25.027800,,25.027800,36.595500,,36.595500,198.815300,,210.890730,198.815300,1966.382300
